sensor_id,timestamp,aqi,traffic_density,energy_kwh
sensor_pasila,2024-01-01 08:30:00,79.0,0.788,448.5
sensor_kallio,2024-01-01 09:00:00,79.4,0.648,413.5
sensor_kamppi,2024-01-01 09:00:00,74.4,0.587,438.2
sensor_pasila,2024-01-01 09:00:00,78.0,0.599,432.5
sensor_kallio,2024-01-01 09:30:00,73.8,0.532,414.6
sensor_kamppi,2024-01-01 09:30:00,79.7,0.565,426.0
sensor_pasila,2024-01-01 09:30:00,80.4,0.554,419.0
sensor_kallio,2024-01-01 10:00:00,52.2,0.255,371.0
sensor_kamppi,2024-01-01 10:00:00,53.1,0.277,372.4
sensor_pasila,2024-01-01 10:00:00,56.0,0.282,370.0
sensor_kallio,2024-01-01 10:30:00,60.7,0.278,369.6
sensor_kamppi,2024-01-01 10:30:00,53.6,0.367,324.7
sensor_pasila,2024-01-01 10:30:00,57.1,0.29,359.9
sensor_kallio,2024-01-01 11:00:00,67.3,0.145,356.0
sensor_kamppi,2024-01-01 11:00:00,49.6,0.156,301.4
sensor_pasila,2024-01-01 11:00:00,50.5,0.147,305.5
sensor_kallio,2024-01-01 11:30:00,55.4,0.082,351.2
sensor_kamppi,2024-01-01 11:30:00,52.3,0.198,291.1
sensor_pasila,2024-01-01 11:30:00,55.5,0.24,293.8
sensor_kallio,2024-01-01 12:00:00,43.1,0.089,281.9
sensor_kamppi,2024-01-01 12:00:00,60.5,0.144,267.3
sensor_pasila,2024-01-01 12:00:00,45.6,0.093,297.3
sensor_kallio,2024-01-01 12:30:00,56.9,0.047,271.7
sensor_kamppi,2024-01-01 12:30:00,67.6,0.17,283.7
sensor_pasila,2024-01-01 12:30:00,55.1,0.069,255.6
sensor_kallio,2024-01-01 13:00:00,52.7,0.115,269.6
sensor_kamppi,2024-01-01 13:00:00,47.6,0.066,242.4
sensor_pasila,2024-01-01 13:00:00,46.6,0.12,211.8
sensor_kallio,2024-01-01 13:30:00,50.1,0.114,288.4
sensor_kamppi,2024-01-01 13:30:00,53.1,0.13,250.0
sensor_pasila,2024-01-01 13:30:00,48.7,0.08,288.5
sensor_kallio,2024-01-01 14:00:00,57.4,0.115,339.1
sensor_kamppi,2024-01-01 14:00:00,50.2,0.119,278.6
sensor_pasila,2024-01-01 14:00:00,49.4,0.17,302.6
sensor_kallio,2024-01-01 14:30:00,40.7,0.088,281.0
sensor_kamppi,2024-01-01 14:30:00,58.3,0.06,227.3
sensor_pasila,2024-01-01 14:30:00,41.0,0.098,270.4
sensor_kallio,2024-01-01 15:00:00,50.4,0.077,286.7
sensor_kamppi,2024-01-01 15:00:00,27.8,0.11,318.6
sensor_pasila,2024-01-01 15:00:00,53.0,0.124,307.4
sensor_kallio,2024-01-01 15:30:00,57.4,0.096,298.0
sensor_kamppi,2024-01-01 15:30:00,42.8,0.082,267.9
sensor_pasila,2024-01-01 15:30:00,48.8,0.107,304.0
sensor_kallio,2024-01-01 16:00:00,65.1,0.111,396.3
sensor_kamppi,2024-01-01 16:00:00,70.5,0.085,350.1
sensor_pasila,2024-01-01 16:00:00,69.8,0.062,359.4
sensor_kallio,2024-01-01 16:30:00,70.5,0.155,380.8
sensor_kamppi,2024-01-01 16:30:00,80.4,0.079,375.3
sensor_pasila,2024-01-01 16:30:00,64.4,0.109,370.3
sensor_kallio,2024-01-01 17:00:00,61.6,0.16,419.9
sensor_kamppi,2024-01-01 17:00:00,48.0,0.117,400.4
sensor_pasila,2024-01-01 17:00:00,67.0,0.114,416.4
sensor_kallio,2024-01-01 17:30:00,52.7,0.065,424.0
sensor_kamppi,2024-01-01 17:30:00,80.0,0.157,444.7
sensor_pasila,2024-01-01 17:30:00,56.7,0.123,370.3
sensor_kallio,2024-01-01 18:00:00,75.2,0.108,413.5
sensor_kamppi,2024-01-01 18:00:00,84.0,0.119,398.5
sensor_pasila,2024-01-01 18:00:00,65.4,0.078,438.5
sensor_kallio,2024-01-01 18:30:00,60.6,0.141,407.8
sensor_kamppi,2024-01-01 18:30:00,67.1,0.154,419.8
sensor_pasila,2024-01-01 18:30:00,64.9,0.106,422.5
sensor_kallio,2024-01-01 19:00:00,40.5,0.103,417.4
sensor_kamppi,2024-01-01 19:00:00,53.6,0.124,433.0
sensor_pasila,2024-01-01 19:00:00,32.8,0.076,460.9
sensor_kallio,2024-01-01 19:30:00,35.0,0.114,432.6
sensor_kamppi,2024-01-01 19:30:00,42.2,0.097,451.6
sensor_pasila,2024-01-01 19:30:00,35.1,0.125,449.8
sensor_kallio,2024-01-01 20:00:00,32.7,0.074,389.8
sensor_kamppi,2024-01-01 20:00:00,26.1,0.07,425.9
sensor_pasila,2024-01-01 20:00:00,33.3,0.147,454.2
sensor_kallio,2024-01-01 20:30:00,33.7,0.054,401.0
sensor_kamppi,2024-01-01 20:30:00,32.8,0.055,403.6
sensor_pasila,2024-01-01 20:30:00,34.9,0.086,393.2
sensor_kallio,2024-01-01 21:00:00,26.3,0.154,358.8
sensor_kamppi,2024-01-01 21:00:00,23.3,0.089,381.0
sensor_pasila,2024-01-01 21:00:00,28.2,0.114,376.5
sensor_kallio,2024-01-01 21:30:00,36.9,0.142,350.9
sensor_kamppi,2024-01-01 21:30:00,42.9,0.076,354.0
sensor_pasila,2024-01-01 21:30:00,37.6,0.125,362.0
sensor_kallio,2024-01-01 22:00:00,22.1,0.117,298.6
sensor_kamppi,2024-01-01 22:00:00,21.2,0.081,316.1
sensor_pasila,2024-01-01 22:00:00,19.8,0.111,314.7
sensor_kallio,2024-01-01 22:30:00,26.3,0.131,323.4
sensor_kamppi,2024-01-01 22:30:00,24.3,0.08,325.1
sensor_pasila,2024-01-01 22:30:00,22.8,0.09,298.6
sensor_kallio,2024-01-01 23:00:00,30.5,0.106,273.2
sensor_kamppi,2024-01-01 23:00:00,41.3,0.107,266.1
sensor_pasila,2024-01-01 23:00:00,23.9,0.122,283.0
sensor_kallio,2024-01-01 23:30:00,40.2,0.078,273.0
sensor_kamppi,2024-01-01 23:30:00,29.4,0.097,272.7
sensor_pasila,2024-01-01 23:30:00,21.4,0.125,285.5
sensor_kallio,2024-01-02 00:00:00,38.3,0.167,304.8
sensor_kamppi,2024-01-02 00:00:00,30.0,0.1,350.0
sensor_pasila,2024-01-02 00:00:00,21.8,0.115,281.8
sensor_kallio,2024-01-02 00:30:00,12.3,0.039,283.6
sensor_kamppi,2024-01-02 00:30:00,41.1,0.074,306.6
sensor_pasila,2024-01-02 00:30:00,24.6,0.118,289.2
sensor_kallio,2024-01-02 01:00:00,40.8,0.07,257.1
sensor_kamppi,2024-01-02 01:00:00,32.8,0.101,300.9
sensor_pasila,2024-01-02 01:00:00,32.2,0.064,261.2
sensor_kallio,2024-01-02 01:30:00,27.6,0.122,280.1
sensor_kamppi,2024-01-02 01:30:00,30.4,0.126,261.9
sensor_pasila,2024-01-02 01:30:00,30.9,0.105,303.0
sensor_kallio,2024-01-02 02:00:00,32.8,0.089,237.1
sensor_kamppi,2024-01-02 02:00:00,40.4,0.082,264.9
sensor_pasila,2024-01-02 02:00:00,24.0,0.131,231.4
sensor_kallio,2024-01-02 02:30:00,28.1,0.132,231.3
sensor_kamppi,2024-01-02 02:30:00,32.7,0.102,238.0
sensor_pasila,2024-01-02 02:30:00,40.2,0.145,218.6
sensor_kallio,2024-01-02 03:00:00,25.9,0.125,246.4
sensor_kamppi,2024-01-02 03:00:00,32.1,0.104,286.3
sensor_pasila,2024-01-02 03:00:00,34.9,0.103,256.9
sensor_kallio,2024-01-02 03:30:00,45.0,0.086,279.2
sensor_kamppi,2024-01-02 03:30:00,30.9,0.104,269.1
sensor_pasila,2024-01-02 03:30:00,35.2,0.07,288.4
sensor_kallio,2024-01-02 04:00:00,48.8,0.113,325.8
sensor_kamppi,2024-01-02 04:00:00,47.3,0.134,317.3
sensor_pasila,2024-01-02 04:00:00,40.0,0.132,312.6
sensor_kallio,2024-01-02 04:30:00,32.1,0.106,273.4
sensor_kamppi,2024-01-02 04:30:00,38.8,0.118,335.9
sensor_pasila,2024-01-02 04:30:00,39.7,0.134,311.2
sensor_kallio,2024-01-02 05:00:00,34.8,0.103,342.6
sensor_kamppi,2024-01-02 05:00:00,28.3,0.164,357.8
sensor_pasila,2024-01-02 05:00:00,44.9,0.148,382.8
sensor_kallio,2024-01-02 05:30:00,49.4,0.126,356.5
sensor_kamppi,2024-01-02 05:30:00,36.7,0.097,375.5
sensor_pasila,2024-01-02 05:30:00,47.9,0.145,352.1
sensor_kallio,2024-01-02 06:00:00,52.7,0.229,412.1
sensor_kamppi,2024-01-02 06:00:00,46.5,0.282,436.4
sensor_pasila,2024-01-02 06:00:00,50.0,0.291,406.9
sensor_kallio,2024-01-02 06:30:00,42.4,0.284,382.4
sensor_kamppi,2024-01-02 06:30:00,58.9,0.33,424.6
sensor_pasila,2024-01-02 06:30:00,39.6,0.361,448.2
sensor_kallio,2024-01-02 07:00:00,74.3,0.556,419.0
sensor_kamppi,2024-01-02 07:00:00,77.2,0.556,435.6
sensor_pasila,2024-01-02 07:00:00,78.4,0.538,476.4
sensor_kallio,2024-01-02 07:30:00,84.0,0.546,408.0
sensor_kamppi,2024-01-02 07:30:00,70.2,0.553,431.0
sensor_pasila,2024-01-02 07:30:00,60.1,0.577,472.4
sensor_kallio,2024-01-02 08:00:00,67.7,0.742,406.5
sensor_kamppi,2024-01-02 08:00:00,81.9,0.743,475.1
sensor_pasila,2024-01-02 08:00:00,76.5,0.739,447.3
sensor_kallio,2024-01-02 08:30:00,71.9,0.71,442.4
sensor_kamppi,2024-01-02 08:30:00,73.7,0.755,443.8
sensor_pasila,2024-01-02 08:30:00,72.9,0.763,471.1
sensor_kallio,2024-01-02 09:00:00,69.6,0.636,403.7
sensor_kamppi,2024-01-02 09:00:00,69.7,0.656,411.7
sensor_pasila,2024-01-02 09:00:00,84.2,0.608,375.0
sensor_kallio,2024-01-02 09:30:00,78.2,0.568,381.8
sensor_kamppi,2024-01-02 09:30:00,59.7,0.587,420.4
sensor_pasila,2024-01-02 09:30:00,79.3,0.574,392.6
sensor_kallio,2024-01-02 10:00:00,46.7,0.282,341.3
sensor_kamppi,2024-01-02 10:00:00,51.6,0.298,344.0
sensor_pasila,2024-01-02 10:00:00,52.4,0.276,361.9
sensor_kallio,2024-01-02 10:30:00,57.1,0.304,371.4
sensor_kamppi,2024-01-02 10:30:00,37.1,0.288,367.5
sensor_pasila,2024-01-02 10:30:00,56.8,0.251,365.1
sensor_kallio,2024-01-02 11:00:00,62.4,0.14,309.3
sensor_kamppi,2024-01-02 11:00:00,58.5,0.153,324.7
sensor_pasila,2024-01-02 11:00:00,54.4,0.15,295.5
sensor_kallio,2024-01-02 11:30:00,52.8,0.183,307.1
sensor_kamppi,2024-01-02 11:30:00,52.3,0.131,326.9
sensor_pasila,2024-01-02 11:30:00,49.7,0.173,292.5
sensor_kallio,2024-01-02 12:00:00,46.2,0.112,275.0
sensor_kamppi,2024-01-02 12:00:00,56.6,0.138,264.2
sensor_pasila,2024-01-02 12:00:00,55.8,0.078,297.6
sensor_kallio,2024-01-02 12:30:00,58.0,0.122,276.2
sensor_kamppi,2024-01-02 12:30:00,45.7,0.096,282.5
sensor_pasila,2024-01-02 12:30:00,53.5,0.109,245.2
sensor_kallio,2024-01-02 13:00:00,53.7,0.08,236.3
sensor_kamppi,2024-01-02 13:00:00,50.8,0.045,272.0
sensor_pasila,2024-01-02 13:00:00,56.7,0.099,238.1
sensor_kallio,2024-01-02 13:30:00,45.8,0.096,209.5
sensor_kamppi,2024-01-02 13:30:00,54.2,0.12,251.8
sensor_pasila,2024-01-02 13:30:00,49.9,0.106,265.0
sensor_kallio,2024-01-02 14:00:00,58.1,0.101,258.7
sensor_kamppi,2024-01-02 14:00:00,45.9,0.105,303.6
sensor_pasila,2024-01-02 14:00:00,48.9,0.068,255.0
sensor_kallio,2024-01-02 14:30:00,35.8,0.11,245.2
sensor_kamppi,2024-01-02 14:30:00,38.2,0.041,250.1
sensor_pasila,2024-01-02 14:30:00,53.3,0.061,237.5
sensor_kallio,2024-01-02 15:00:00,49.2,0.09,319.8
sensor_kamppi,2024-01-02 15:00:00,55.4,0.1,285.2
sensor_pasila,2024-01-02 15:00:00,47.4,0.115,299.5
sensor_kallio,2024-01-02 15:30:00,37.9,0.133,302.9
sensor_kamppi,2024-01-02 15:30:00,43.9,0.1,331.8
sensor_pasila,2024-01-02 15:30:00,49.3,0.09,324.8
sensor_kallio,2024-01-02 16:00:00,85.1,0.142,375.4
sensor_kamppi,2024-01-02 16:00:00,58.9,0.213,338.0
sensor_pasila,2024-01-02 16:00:00,68.2,0.079,394.5
sensor_kallio,2024-01-02 16:30:00,73.0,0.057,367.3
sensor_kamppi,2024-01-02 16:30:00,75.6,0.09,337.5
sensor_pasila,2024-01-02 16:30:00,66.5,0.087,362.4
sensor_kallio,2024-01-02 17:00:00,63.4,0.122,389.6
sensor_kamppi,2024-01-02 17:00:00,49.7,0.078,435.6
sensor_pasila,2024-01-02 17:00:00,64.1,0.17,418.4
sensor_kallio,2024-01-02 17:30:00,58.8,0.075,413.5
sensor_kamppi,2024-01-02 17:30:00,55.2,0.171,388.8
sensor_pasila,2024-01-02 17:30:00,70.4,0.144,406.4
sensor_kallio,2024-01-02 18:00:00,56.9,0.092,443.6
sensor_kamppi,2024-01-02 18:00:00,72.7,0.102,408.3
sensor_pasila,2024-01-02 18:00:00,64.1,0.08,392.6
sensor_kallio,2024-01-02 18:30:00,59.0,0.057,448.1
sensor_kamppi,2024-01-02 18:30:00,83.3,0.156,424.8
sensor_pasila,2024-01-02 18:30:00,61.6,0.121,457.5
sensor_kallio,2024-01-02 19:00:00,33.1,0.096,480.5
sensor_kamppi,2024-01-02 19:00:00,34.9,0.085,438.7
sensor_pasila,2024-01-02 19:00:00,38.9,0.069,431.3
sensor_kallio,2024-01-02 19:30:00,27.8,0.092,473.9
sensor_kamppi,2024-01-02 19:30:00,43.4,0.097,417.7
sensor_pasila,2024-01-02 19:30:00,34.4,0.132,425.1
sensor_kallio,2024-01-02 20:00:00,43.7,0.059,402.8
sensor_kamppi,2024-01-02 20:00:00,50.9,0.04,432.4
sensor_pasila,2024-01-02 20:00:00,24.3,0.097,405.1
sensor_kallio,2024-01-02 20:30:00,39.3,0.02,370.2
sensor_kamppi,2024-01-02 20:30:00,27.9,0.101,390.7
sensor_pasila,2024-01-02 20:30:00,32.4,0.064,400.6
sensor_kallio,2024-01-02 21:00:00,25.7,0.107,373.6
sensor_kamppi,2024-01-02 21:00:00,45.9,0.08,355.6
sensor_pasila,2024-01-02 21:00:00,31.8,0.091,360.9
sensor_kallio,2024-01-02 21:30:00,20.7,0.111,343.6
sensor_kamppi,2024-01-02 21:30:00,22.0,0.052,385.2
sensor_pasila,2024-01-02 21:30:00,30.9,0.134,367.4
sensor_kallio,2024-01-02 22:00:00,18.5,0.067,326.4
sensor_kamppi,2024-01-02 22:00:00,22.8,0.067,307.6
sensor_pasila,2024-01-02 22:00:00,29.5,0.07,304.7
sensor_kallio,2024-01-02 22:30:00,27.1,0.022,321.3
sensor_kamppi,2024-01-02 22:30:00,22.3,0.139,288.2
sensor_pasila,2024-01-02 22:30:00,22.5,0.136,279.5
sensor_kallio,2024-01-02 23:00:00,25.5,0.118,265.9
sensor_kamppi,2024-01-02 23:00:00,13.4,0.106,268.6
sensor_pasila,2024-01-02 23:00:00,36.4,0.118,333.2
sensor_kallio,2024-01-02 23:30:00,18.5,0.099,251.1
sensor_kamppi,2024-01-02 23:30:00,41.5,0.125,287.5
sensor_pasila,2024-01-02 23:30:00,26.1,0.078,231.9
sensor_kallio,2024-01-03 00:00:00,42.4,0.115,306.0
sensor_kamppi,2024-01-03 00:00:00,39.7,0.123,330.7
sensor_pasila,2024-01-03 00:00:00,22.3,0.079,315.1
sensor_kallio,2024-01-03 00:30:00,32.9,0.129,291.0
sensor_kamppi,2024-01-03 00:30:00,31.7,0.166,325.0
sensor_pasila,2024-01-03 00:30:00,34.8,0.099,326.5
sensor_kallio,2024-01-03 01:00:00,44.2,0.103,296.9
sensor_kamppi,2024-01-03 01:00:00,22.9,0.118,290.5
sensor_pasila,2024-01-03 01:00:00,27.8,0.133,258.9
sensor_kallio,2024-01-03 01:30:00,26.0,0.1,311.1
sensor_kamppi,2024-01-03 01:30:00,34.7,0.128,257.8
sensor_pasila,2024-01-03 01:30:00,32.0,0.065,261.0
sensor_kallio,2024-01-03 02:00:00,39.4,0.099,287.0
sensor_kamppi,2024-01-03 02:00:00,31.5,0.094,283.5
sensor_pasila,2024-01-03 02:00:00,30.3,0.054,284.0
sensor_kallio,2024-01-03 02:30:00,36.4,0.035,258.9
sensor_kamppi,2024-01-03 02:30:00,29.5,0.152,243.4
sensor_pasila,2024-01-03 02:30:00,30.6,0.073,236.9
sensor_kallio,2024-01-03 03:00:00,31.1,0.057,251.8
sensor_kamppi,2024-01-03 03:00:00,19.9,0.055,241.3
sensor_pasila,2024-01-03 03:00:00,33.4,0.08,247.9
sensor_kallio,2024-01-03 03:30:00,39.3,0.099,263.8
sensor_kamppi,2024-01-03 03:30:00,31.4,0.148,277.2
sensor_pasila,2024-01-03 03:30:00,38.4,0.023,259.4
sensor_kallio,2024-01-03 04:00:00,23.7,0.093,318.7
sensor_kamppi,2024-01-03 04:00:00,32.2,0.121,290.7
sensor_pasila,2024-01-03 04:00:00,41.8,0.059,306.0
sensor_kallio,2024-01-03 04:30:00,41.8,0.122,308.7
sensor_kamppi,2024-01-03 04:30:00,58.3,0.093,302.2
sensor_pasila,2024-01-03 04:30:00,25.1,0.159,303.8
sensor_kallio,2024-01-03 05:00:00,33.8,0.185,386.7
sensor_kamppi,2024-01-03 05:00:00,43.1,0.102,370.3
sensor_pasila,2024-01-03 05:00:00,38.9,0.11,382.8
sensor_kallio,2024-01-03 05:30:00,27.1,0.162,371.1
sensor_kamppi,2024-01-03 05:30:00,62.5,0.155,320.8
sensor_pasila,2024-01-03 05:30:00,37.8,0.147,369.1
sensor_kallio,2024-01-03 06:00:00,52.0,0.24,402.0
sensor_kamppi,2024-01-03 06:00:00,54.8,0.345,445.8
sensor_pasila,2024-01-03 06:00:00,43.2,0.332,442.8
sensor_kallio,2024-01-03 06:30:00,53.5,0.321,425.1
sensor_kamppi,2024-01-03 06:30:00,37.2,0.256,428.2
sensor_pasila,2024-01-03 06:30:00,43.4,0.298,397.0
sensor_kallio,2024-01-03 07:00:00,70.2,0.591,415.9
sensor_kamppi,2024-01-03 07:00:00,73.7,0.591,434.8
sensor_pasila,2024-01-03 07:00:00,69.3,0.607,473.8
sensor_kallio,2024-01-03 07:30:00,68.8,0.621,454.1
sensor_kamppi,2024-01-03 07:30:00,46.5,0.561,423.6
sensor_pasila,2024-01-03 07:30:00,76.9,0.589,445.8
sensor_kallio,2024-01-03 08:00:00,79.9,0.723,421.4
sensor_kamppi,2024-01-03 08:00:00,63.3,0.745,433.9
sensor_pasila,2024-01-03 08:00:00,76.3,0.728,454.4
sensor_kallio,2024-01-03 08:30:00,81.9,0.796,450.5
sensor_kamppi,2024-01-03 08:30:00,77.3,0.77,448.5
sensor_pasila,2024-01-03 08:30:00,72.2,0.789,470.7
sensor_kallio,2024-01-03 09:00:00,91.2,0.585,415.1
sensor_kamppi,2024-01-03 09:00:00,81.6,0.583,421.0
sensor_pasila,2024-01-03 09:00:00,76.8,0.578,443.8
sensor_kallio,2024-01-03 09:30:00,78.5,0.586,426.2
sensor_kamppi,2024-01-03 09:30:00,78.9,0.592,407.3
sensor_pasila,2024-01-03 09:30:00,71.3,0.583,385.9
sensor_kallio,2024-01-03 10:00:00,55.1,0.264,380.3
sensor_kamppi,2024-01-03 10:00:00,61.1,0.307,359.9
sensor_pasila,2024-01-03 10:00:00,55.7,0.24,340.0
sensor_kallio,2024-01-03 10:30:00,52.5,0.309,360.4
sensor_kamppi,2024-01-03 10:30:00,43.5,0.303,352.9
sensor_pasila,2024-01-03 10:30:00,48.2,0.309,357.8
sensor_kallio,2024-01-03 11:00:00,62.4,0.165,325.9
sensor_kamppi,2024-01-03 11:00:00,57.2,0.12,292.5
sensor_pasila,2024-01-03 11:00:00,46.6,0.232,289.6
sensor_kallio,2024-01-03 11:30:00,52.5,0.135,305.6
sensor_kamppi,2024-01-03 11:30:00,48.2,0.089,291.2
sensor_pasila,2024-01-03 11:30:00,47.0,0.142,297.5
sensor_kallio,2024-01-03 12:00:00,48.8,0.112,260.8
sensor_kamppi,2024-01-03 12:00:00,62.9,0.094,276.9
sensor_pasila,2024-01-03 12:00:00,47.0,0.125,264.3
sensor_kallio,2024-01-03 12:30:00,56.5,0.116,269.0
sensor_kamppi,2024-01-03 12:30:00,55.8,0.094,299.4
sensor_pasila,2024-01-03 12:30:00,58.3,0.12,248.8
sensor_kallio,2024-01-03 13:00:00,44.7,0.08,253.1
sensor_kamppi,2024-01-03 13:00:00,56.9,0.074,281.5
sensor_pasila,2024-01-03 13:00:00,52.4,0.04,248.5
sensor_kallio,2024-01-03 13:30:00,34.3,0.078,247.0
sensor_kamppi,2024-01-03 13:30:00,46.3,0.091,250.1
sensor_pasila,2024-01-03 13:30:00,49.4,0.145,282.3
sensor_kallio,2024-01-03 14:00:00,42.5,0.138,240.0
sensor_kamppi,2024-01-03 14:00:00,42.3,0.146,227.7
sensor_pasila,2024-01-03 14:00:00,53.4,0.062,269.6
sensor_kallio,2024-01-03 14:30:00,49.2,0.151,256.2
sensor_kamppi,2024-01-03 14:30:00,49.8,0.119,267.4
sensor_pasila,2024-01-03 14:30:00,46.4,0.098,274.3
sensor_kallio,2024-01-03 15:00:00,54.2,0.072,302.2
sensor_kamppi,2024-01-03 15:00:00,51.2,0.095,307.5
sensor_pasila,2024-01-03 15:00:00,47.9,0.079,295.2
sensor_kallio,2024-01-03 15:30:00,51.1,0.067,334.5
sensor_kamppi,2024-01-03 15:30:00,50.2,0.062,316.9
sensor_pasila,2024-01-03 15:30:00,48.8,0.123,334.4
sensor_kallio,2024-01-03 16:00:00,67.5,0.079,349.8
sensor_kamppi,2024-01-03 16:00:00,60.3,0.078,367.6
sensor_pasila,2024-01-03 16:00:00,70.2,0.085,347.2
sensor_kallio,2024-01-03 16:30:00,72.5,0.085,341.1
sensor_kamppi,2024-01-03 16:30:00,68.6,0.092,340.5
sensor_pasila,2024-01-03 16:30:00,74.2,0.125,362.8
sensor_kallio,2024-01-03 17:00:00,67.9,0.116,408.0
sensor_kamppi,2024-01-03 17:00:00,75.9,0.15,410.2
sensor_pasila,2024-01-03 17:00:00,69.2,0.126,401.8
sensor_kallio,2024-01-03 17:30:00,59.1,0.127,377.2
sensor_kamppi,2024-01-03 17:30:00,84.9,0.126,412.3
sensor_pasila,2024-01-03 17:30:00,67.3,0.153,389.7
sensor_kallio,2024-01-03 18:00:00,55.8,0.082,431.1
sensor_kamppi,2024-01-03 18:00:00,53.8,0.105,439.0
sensor_pasila,2024-01-03 18:00:00,59.8,0.148,408.5
sensor_kallio,2024-01-03 18:30:00,55.0,0.111,432.2
sensor_kamppi,2024-01-03 18:30:00,68.1,0.081,415.6
sensor_pasila,2024-01-03 18:30:00,60.7,0.079,446.8
sensor_kallio,2024-01-03 19:00:00,32.6,0.123,448.1
sensor_kamppi,2024-01-03 19:00:00,46.4,0.127,452.0
sensor_pasila,2024-01-03 19:00:00,39.8,0.084,431.1
sensor_kallio,2024-01-03 19:30:00,23.2,0.109,422.8
sensor_kamppi,2024-01-03 19:30:00,40.0,0.116,409.3
sensor_pasila,2024-01-03 19:30:00,30.9,0.09,426.0
sensor_kallio,2024-01-03 20:00:00,34.7,0.065,409.5
sensor_kamppi,2024-01-03 20:00:00,16.6,0.035,422.9
sensor_pasila,2024-01-03 20:00:00,27.0,0.083,380.2
sensor_kallio,2024-01-03 20:30:00,23.7,0.088,400.4
sensor_kamppi,2024-01-03 20:30:00,43.3,0.113,403.4
sensor_pasila,2024-01-03 20:30:00,37.3,0.133,416.8
sensor_kallio,2024-01-03 21:00:00,28.8,0.131,397.3
sensor_kamppi,2024-01-03 21:00:00,38.2,0.153,380.5
sensor_pasila,2024-01-03 21:00:00,35.9,0.067,339.7
sensor_kallio,2024-01-03 21:30:00,31.3,0.05,350.1
